OrderID,CustomerID,PrimaryProductID,DateID,ChannelID,OrderDate,ShipDate,DeliveryDate,Quantity,Revenue_USD,COGS_USD,GrossMargin_USD,GrossMarginPct,DiscountPct,ShippingCost_USD,FulfillmentDays,ShippedOnTime,OrderStatus
36,571,107,20240307,1,2024-03-07,2024-03-09,2024-03-11,4,288.37,125.46,162.91,56.49,3.72,0.0,2,True,Completed
37,94,54,20241221,5,2024-12-21,2024-12-23,2024-12-27,1,35.74,15.4,20.34,56.91,0.0,8.79,4,True,Completed
38,54,7,20220515,1,2022-05-15,2022-05-15,2022-05-18,2,99.26,35.77,63.49,63.96,2.04,0.0,3,True,Completed
39,117,87,20240609,2,2024-06-09,2024-06-09,2024-06-13,2,85.34,18.58,66.76,78.23,0.0,0.0,4,True,Completed
40,614,28,20221129,1,2022-11-29,2022-12-01,2022-12-04,2,71.0,33.04,37.96,53.46,10.0,8.6,3,True,Completed
41,133,65,20230716,2,2023-07-16,2023-07-16,2023-07-17,3,226.81,119.8,107.01,47.18,11.06,0.0,1,True,Completed
42,80,74,20230824,6,2023-08-24,2023-08-26,2023-08-28,3,135.83,55.94,79.89,58.82,0.0,0.0,2,True,Completed
43,707,109,20230824,7,2023-08-24,2023-08-24,2023-08-27,1,90.96,44.93,46.03,50.6,0.0,0.0,3,True,Completed
44,318,100,20230601,5,2023-06-01,2023-06-02,2023-06-05,1,46.46,25.64,20.82,44.81,0.0,7.02,3,True,Completed
45,661,19,20230402,5,2023-04-02,2023-04-04,2023-04-06,1,76.67,31.66,45.01,58.71,0.0,0.0,2,True,Completed
46,792,73,20220501,4,2022-05-01,2022-05-03,2022-05-08,2,153.94,63.0,90.94,59.07,0.0,0.0,5,False,Completed
47,640,41,20240130,2,2024-01-30,2024-01-31,2024-02-03,5,194.85,89.82,105.03,53.9,3.1,0.0,3,True,Completed
48,93,60,20220503,4,2022-05-03,2022-05-05,2022-05-09,3,210.1,117.0,93.1,44.31,3.11,0.0,4,True,Completed
49,620,8,20221021,3,2022-10-21,2022-10-23,2022-10-27,1,75.47,26.5,48.97,64.89,10.0,0.0,4,True,Completed
50,662,57,20220514,1,2022-05-14,2022-05-15,2022-05-18,3,91.83,29.61,62.22,67.76,0.0,0.0,3,True,Completed
51,290,87,20230502,2,2023-05-02,2023-05-03,2023-05-06,2,77.82,17.28,60.54,77.79,2.6,0.0,3,True,Completed
52,742,78,20230102,6,2023-01-02,2023-01-04,2023-01-05,7,219.35,80.02,139.33,63.52,3.22,0.0,1,True,Completed
53,337,107,20230507,5,2023-05-07,2023-05-07,2023-05-10,4,217.36,87.4,129.96,59.79,12.59,0.0,3,True,Completed
54,185,99,20230418,8,2023-04-18,2023-04-18,2023-04-20,1,109.68,39.75,69.93,63.76,0.0,0.0,2,True,Completed
55,104,95,20230116,3,2023-01-16,2023-01-16,2023-01-19,3,245.19,96.03,149.16,60.83,5.0,0.0,3,True,Completed
56,710,22,20220912,5,2022-09-12,2022-09-12,2022-09-16,4,176.92,79.79,97.13,54.9,8.76,0.0,4,True,Completed
57,317,116,20231125,8,2023-11-25,2023-11-25,2023-11-28,5,296.52,117.68,178.84,60.31,2.72,0.0,3,True,Completed
58,142,62,20240731,6,2024-07-31,2024-08-02,2024-08-04,2,101.7,49.24,52.46,51.58,5.0,0.0,2,True,Completed
59,292,58,20240926,1,2024-09-26,2024-09-26,2024-09-29,3,95.25,27.63,67.62,70.99,0.0,0.0,3,True,Completed
60,358,51,20240818,7,2024-08-18,2024-08-18,2024-08-21,1,34.18,16.5,17.68,51.73,0.0,14.94,3,True,Completed
61,102,102,20230215,6,2023-02-15,2023-02-17,2023-02-19,3,234.24,100.53,133.71,57.08,3.11,0.0,2,True,Completed
62,631,33,20230905,1,2023-09-05,2023-09-06,2023-09-09,1,39.81,13.94,25.87,64.98,0.0,14.45,3,True,Completed
63,296,31,20220626,1,2022-06-26,2022-06-27,2022-06-29,1,47.38,21.86,25.52,53.86,10.0,10.1,2,True,Completed
64,17,92,20231223,4,2023-12-23,2023-12-23,2023-12-27,2,145.97,51.41,94.56,64.78,2.5,0.0,4,True,Completed
65,370,65,20231113,1,2023-11-13,2023-11-14,2023-11-17,4,312.83,153.85,158.98,50.82,4.52,0.0,3,True,Completed
66,17,31,20221217,2,2022-12-17,2022-12-18,2022-12-24,2,100.04,43.72,56.32,56.3,5.0,0.0,6,False,Completed
67,361,23,20220730,3,2022-07-30,2022-07-30,2022-08-05,4,229.66,126.73,102.93,44.82,12.55,0.0,6,True,Completed
68,45,41,20230112,5,2023-01-12,2023-01-12,2023-01-15,4,230.78,115.57,115.21,49.92,5.03,0.0,3,True,Completed
69,340,56,20241012,2,2024-10-12,2024-10-14,2024-10-19,4,167.31,64.31,103.0,61.56,11.72,0.0,5,False,Completed
70,85,78,20221223,5,2022-12-23,2022-12-23,2022-12-25,3,121.59,32.37,89.22,73.38,0.0,0.0,2,True,Completed
71,303,55,20230228,2,2023-02-28,2023-03-01,2023-03-04,3,117.93,35.16,82.77,70.19,9.26,0.0,3,True,Completed
72,59,47,20221228,1,2022-12-28,2022-12-28,2023-01-01,5,209.48,63.68,145.8,69.6,1.69,0.0,4,True,Completed
73,242,50,20220719,5,2022-07-19,2022-07-20,2022-07-22,3,227.49,134.1,93.39,41.05,0.0,0.0,2,True,Completed
74,381,18,20241212,2,2024-12-12,2024-12-12,2024-12-14,1,42.18,19.42,22.76,53.96,0.0,11.84,2,True,Completed
75,512,16,20240517,3,2024-05-17,2024-05-17,2024-05-19,7,348.85,175.41,173.44,49.72,0.0,0.0,2,True,Completed
76,731,88,20230813,2,2023-08-13,2023-08-15,2023-08-19,3,101.34,54.12,47.22,46.6,20.0,0.0,4,True,Completed
77,556,21,20220414,2,2022-04-14,2022-04-16,2022-04-20,2,64.42,31.98,32.44,50.36,15.0,11.73,4,True,Completed
78,206,64,20221201,5,2022-12-01,2022-12-01,2022-12-07,1,60.68,34.97,25.71,42.37,5.0,9.31,6,True,Completed
79,89,92,20231230,1,2023-12-30,2023-12-30,2024-01-05,2,146.26,39.5,106.76,72.99,0.0,0.0,6,True,Completed
80,325,88,20220717,4,2022-07-17,2022-07-19,2022-07-22,1,42.22,18.04,24.18,57.27,0.0,13.45,3,True,Completed
81,133,8,20221012,2,2022-10-12,2022-10-13,2022-10-16,3,199.42,77.04,122.38,61.37,8.69,0.0,3,True,Completed
82,257,36,20240920,1,2024-09-20,2024-09-22,2024-09-24,4,171.23,75.8,95.43,55.73,8.07,0.0,2,True,Completed
83,30,99,20220306,1,2022-03-06,2022-03-08,2022-03-10,5,308.53,128.19,180.34,58.45,1.69,0.0,2,True,Completed
84,465,57,20230614,1,2023-06-14,2023-06-16,2023-06-18,1,30.61,9.87,20.74,67.76,0.0,9.05,2,True,Completed
85,354,48,20230216,8,2023-02-16,2023-02-17,2023-02-19,1,16.26,7.07,9.19,56.52,0.0,8.17,2,True,Completed
86,100,111,20221214,1,2022-12-14,2022-12-15,2022-12-19,8,294.8,145.2,149.6,50.75,12.1,0.0,4,True,Completed
87,403,28,20220205,3,2022-02-05,2022-02-07,2022-02-12,6,358.99,169.6,189.39,52.76,1.92,0.0,5,False,Completed
88,413,73,20230422,2,2023-04-22,2023-04-23,2023-04-25,1,76.97,31.5,45.47,59.07,0.0,0.0,2,True,Completed
89,783,80,20231020,3,2023-10-20,2023-10-20,2023-10-24,3,157.74,87.12,70.62,44.77,17.05,0.0,4,True,Completed
90,412,18,20231226,3,2023-12-26,2023-12-28,2023-12-31,2,75.92,38.84,37.08,48.84,10.0,0.0,3,True,Completed
91,144,21,20241111,2,2024-11-11,2024-11-13,2024-11-17,4,136.51,64.47,72.04,52.77,7.5,0.0,4,True,Completed
92,577,48,20231002,2,2023-10-02,2023-10-03,2023-10-06,4,121.31,38.5,82.81,68.26,6.31,0.0,3,True,Completed
93,795,7,20241219,3,2024-12-19,2024-12-19,2024-12-23,1,58.72,26.48,32.24,54.9,0.0,11.65,4,True,Completed
94,249,15,20240823,1,2024-08-23,2024-08-23,2024-08-24,7,247.8,94.66,153.14,61.8,5.63,0.0,1,True,Completed
95,575,68,20231107,2,2023-11-07,2023-11-09,2023-11-12,4,289.78,130.12,159.66,55.1,0.0,0.0,3,True,Completed
96,710,32,20240314,2,2024-03-14,2024-03-15,2024-03-22,1,54.5,23.46,31.04,56.95,0.0,14.46,7,False,Completed
97,707,45,20240412,5,2024-04-12,2024-04-13,2024-04-17,1,88.52,48.57,39.95,45.13,15.0,0.0,4,True,Completed
98,693,51,20220712,3,2022-07-12,2022-07-13,2022-07-16,6,359.55,169.33,190.22,52.91,2.57,0.0,3,True,Completed
99,220,120,20240531,1,2024-05-31,2024-06-02,2024-06-04,3,153.29,80.22,73.07,47.67,1.76,0.0,2,True,Completed
100,232,53,20241125,4,2024-11-25,2024-11-25,2024-11-29,1,81.22,49.88,31.34,38.59,0.0,0.0,4,True,Completed
101,162,113,20241218,2,2024-12-18,2024-12-18,2024-12-22,6,340.69,152.88,187.81,55.13,4.31,0.0,4,True,Completed
102,181,108,20230630,7,2023-06-30,2023-07-01,2023-07-07,1,63.25,28.65,34.6,54.7,0.0,14.42,6,False,Completed
103,10,119,20241024,2,2024-10-24,2024-10-25,2024-10-30,2,62.91,28.59,34.32,54.55,11.03,14.44,5,True,Completed
104,116,83,20221227,2,2022-12-27,2022-12-27,2022-12-31,3,199.17,79.7,119.47,59.98,0.0,0.0,4,True,Completed
105,655,66,20231230,6,2023-12-30,2023-12-31,2024-01-04,7,203.68,98.39,105.29,51.69,0.0,0.0,4,True,Completed
106,310,34,20241214,3,2024-12-14,2024-12-16,2024-12-20,3,198.23,67.92,130.31,65.74,0.0,0.0,4,True,Completed
107,721,82,20241202,5,2024-12-02,2024-12-04,2024-12-08,4,233.62,102.56,131.06,56.1,8.7,0.0,4,True,Completed
108,383,61,20241227,2,2024-12-27,2024-12-29,2025-01-02,2,141.41,70.03,71.38,50.48,1.44,0.0,4,True,Completed
109,721,15,20230807,2,2023-08-07,2023-08-07,2023-08-09,3,187.55,64.93,122.62,65.38,0.0,0.0,2,True,Completed
110,501,104,20240427,1,2024-04-27,2024-04-28,2024-05-01,2,109.76,40.66,69.1,62.96,0.0,0.0,3,True,Completed
111,406,28,20240504,2,2024-05-04,2024-05-04,2024-05-05,1,39.44,16.52,22.92,58.11,0.0,9.09,1,True,Completed
112,71,37,20241206,8,2024-12-06,2024-12-07,2024-12-15,1,20.16,8.79,11.37,56.4,10.0,12.88,8,False,Completed
113,392,49,20230504,2,2023-05-04,2023-05-04,2023-05-07,5,236.46,130.27,106.19,44.91,15.71,0.0,3,True,Completed
114,229,39,20240509,6,2024-05-09,2024-05-10,2024-05-12,3,246.32,111.6,134.72,54.69,2.65,0.0,2,True,Completed
115,194,15,20220901,7,2022-09-01,2022-09-01,2022-09-02,4,121.98,56.46,65.52,53.71,5.41,0.0,1,True,Completed
116,609,91,20220418,1,2022-04-18,2022-04-18,2022-04-20,2,120.37,48.31,72.06,59.87,7.13,0.0,2,True,Completed
117,297,74,20220809,1,2022-08-09,2022-08-10,2022-08-13,6,238.55,94.58,143.97,60.35,6.61,0.0,3,True,Completed
118,606,81,20220407,6,2022-04-07,2022-04-08,2022-04-12,3,91.57,26.37,65.2,71.2,2.21,0.0,4,True,Completed
119,386,31,20220823,1,2022-08-23,2022-08-24,2022-08-25,2,135.71,66.79,68.92,50.78,4.95,0.0,1,True,Completed
120,571,33,20241219,3,2024-12-19,2024-12-21,2024-12-25,1,37.82,13.94,23.88,63.14,5.0,14.29,4,True,Completed
121,196,78,20240506,1,2024-05-06,2024-05-08,2024-05-12,1,34.45,10.79,23.66,68.68,15.0,7.68,4,True,Completed
122,223,43,20240303,3,2024-03-03,2024-03-05,2024-03-07,7,458.67,204.31,254.36,55.46,0.78,0.0,2,True,Completed
123,407,100,20240411,7,2024-04-11,2024-04-11,2024-04-14,2,68.86,34.43,34.43,50.0,0.0,10.61,3,True,Completed
124,740,118,20240802,3,2024-08-02,2024-08-04,2024-08-07,4,273.01,145.82,127.19,46.59,5.06,0.0,3,True,Completed
125,157,73,20230630,1,2023-06-30,2023-07-02,2023-07-06,2,153.94,63.0,90.94,59.07,0.0,0.0,4,True,Completed
126,782,83,20230314,6,2023-03-14,2023-03-14,2023-03-15,4,240.2,96.43,143.77,59.85,9.45,0.0,1,True,Completed
127,77,98,20240912,7,2024-09-12,2024-09-14,2024-09-15,2,120.9,61.18,59.72,49.4,10.0,0.0,1,True,Completed
128,62,79,20230819,4,2023-08-19,2023-08-20,2023-08-23,2,71.91,37.25,34.66,48.2,3.59,6.1,3,True,Completed
129,294,87,20231126,1,2023-11-26,2023-11-27,2023-11-30,7,192.36,57.99,134.37,69.85,0.64,0.0,3,True,Completed
130,81,73,20240724,2,2024-07-24,2024-07-24,2024-07-28,1,73.12,31.5,41.62,56.92,5.0,8.69,4,True,Completed
131,666,49,20240212,5,2024-02-12,2024-02-12,2024-02-16,1,67.85,32.03,35.82,52.79,0.0,11.72,4,True,Completed
132,445,110,20231014,4,2023-10-14,2023-10-14,2023-10-19,3,154.26,92.16,62.1,40.26,15.0,0.0,5,True,Completed
133,709,6,20221125,6,2022-11-25,2022-11-27,2022-12-01,3,211.44,90.18,121.26,57.35,5.0,0.0,4,True,Completed
134,184,27,20240216,7,2024-02-16,2024-02-16,2024-02-19,1,65.25,38.72,26.53,40.66,10.0,12.4,3,True,Completed
135,578,50,20230121,1,2023-01-21,2023-01-22,2023-01-26,5,325.61,124.12,201.49,61.88,2.36,0.0,4,True,Completed
136,448,78,20220326,1,2022-03-26,2022-03-26,2022-03-30,2,64.84,21.58,43.26,66.72,20.0,9.56,4,True,Completed
137,462,49,20240120,3,2024-01-20,2024-01-22,2024-01-23,1,64.46,32.03,32.43,50.31,5.0,11.94,1,True,Completed
138,253,20,20230115,5,2023-01-15,2023-01-16,2023-01-19,1,24.58,11.93,12.65,51.46,10.0,7.38,3,True,Completed
139,6,98,20220619,7,2022-06-19,2022-06-21,2022-06-24,1,49.14,23.8,25.34,51.57,0.0,7.68,3,True,Completed
140,106,12,20231030,1,2023-10-30,2023-10-31,2023-11-01,1,32.23,20.39,11.84,36.74,10.0,13.76,1,True,Completed
141,87,32,20230521,5,2023-05-21,2023-05-21,2023-05-23,2,87.89,43.08,44.81,50.98,2.95,0.0,2,True,Completed
142,446,101,20220411,2,2022-04-11,2022-04-13,2022-04-16,1,30.17,13.36,16.81,55.72,0.0,8.21,3,True,Completed
143,469,51,20240102,1,2024-01-02,2024-01-03,2024-01-05,1,32.47,16.5,15.97,49.18,5.0,13.23,2,True,Completed
144,667,42,20230716,8,2023-07-16,2023-07-17,2023-07-19,1,15.86,7.86,8.0,50.44,5.0,10.3,2,True,Completed
145,299,74,20241219,5,2024-12-19,2024-12-19,2024-12-23,3,96.45,46.34,50.11,51.95,0.0,0.0,4,True,Completed
146,559,4,20231221,1,2023-12-21,2023-12-23,2023-12-28,2,140.04,62.83,77.21,55.13,5.58,0.0,5,False,Completed
147,649,20,20231014,2,2023-10-14,2023-10-15,2023-10-22,2,49.16,23.86,25.3,51.46,10.0,6.66,7,False,Completed
148,548,89,20231217,3,2023-12-17,2023-12-19,2023-12-24,7,395.69,176.88,218.81,55.3,0.62,0.0,5,False,Completed
149,661,97,20220311,4,2022-03-11,2022-03-11,2022-03-13,1,90.55,44.12,46.43,51.28,10.0,0.0,2,True,Completed
150,523,89,20221219,5,2022-12-19,2022-12-20,2022-12-24,2,144.94,70.35,74.59,51.46,1.18,0.0,4,True,Completed
151,495,11,20241231,1,2024-12-31,2024-12-31,2025-01-03,1,29.67,16.14,13.53,45.6,15.0,7.27,3,True,Completed
152,357,90,20231110,3,2023-11-10,2023-11-10,2023-11-14,1,62.57,25.95,36.62,58.53,0.0,6.39,4,True,Completed
153,664,120,20240924,1,2024-09-24,2024-09-24,2024-09-27,3,151.38,72.59,78.79,52.05,4.8,0.0,3,True,Completed
154,443,114,20240127,2,2024-01-27,2024-01-29,2024-01-31,2,157.82,66.02,91.8,58.17,0.0,0.0,2,True,Completed
155,65,69,20240809,3,2024-08-09,2024-08-11,2024-08-14,3,168.63,63.35,105.28,62.43,5.18,0.0,3,True,Completed
156,117,80,20230527,2,2023-05-27,2023-05-27,2023-05-29,7,568.04,283.94,284.1,50.01,5.99,0.0,2,True,Completed
157,711,77,20221014,1,2022-10-14,2022-10-16,2022-10-19,1,37.28,7.99,29.29,78.57,0.0,7.66,3,True,Completed
158,178,18,20241130,3,2024-11-30,2024-12-01,2024-12-06,1,37.96,19.42,18.54,48.84,10.0,11.56,5,True,Completed
159,394,64,20220804,8,2022-08-04,2022-08-04,2022-08-05,4,290.18,169.7,120.48,41.52,0.0,0.0,1,True,Completed
160,226,69,20240725,2,2024-07-25,2024-07-26,2024-07-29,1,78.06,27.55,50.51,64.71,10.0,0.0,3,True,Completed
161,116,70,20231202,3,2023-12-02,2023-12-04,2023-12-08,2,107.54,42.96,64.58,60.05,0.0,0.0,4,True,Completed
162,224,107,20230730,8,2023-07-30,2023-07-30,2023-08-04,2,129.38,43.54,85.84,66.35,0.0,0.0,5,True,Completed
163,357,111,20230810,6,2023-08-10,2023-08-12,2023-08-14,3,153.87,72.36,81.51,52.97,10.0,0.0,2,True,Completed
164,360,55,20231219,6,2023-12-19,2023-12-20,2023-12-25,3,174.42,55.38,119.04,68.25,10.0,0.0,5,True,Completed
165,173,38,20231223,2,2023-12-23,2023-12-23,2023-12-25,4,123.44,70.94,52.5,42.53,6.66,0.0,2,True,Completed
166,672,32,20241229,1,2024-12-29,2024-12-30,2025-01-03,4,277.31,106.53,170.78,61.58,1.25,0.0,4,True,Completed
167,788,36,20220501,1,2022-05-01,2022-05-03,2022-05-04,6,392.52,174.96,217.56,55.43,0.0,0.0,1,True,Completed
168,470,109,20220528,4,2022-05-28,2022-05-29,2022-06-01,5,299.07,164.02,135.05,45.16,3.92,0.0,3,True,Completed
169,346,110,20240831,3,2024-08-31,2024-08-31,2024-09-01,1,60.5,30.72,29.78,49.22,0.0,12.13,1,True,Completed
170,471,21,20240110,1,2024-01-10,2024-01-11,2024-01-12,10,489.5,206.46,283.04,57.82,6.83,0.0,1,True,Completed
171,381,7,20221215,4,2022-12-15,2022-12-15,2022-12-16,3,121.21,59.48,61.73,50.93,4.36,0.0,1,True,Completed
172,80,88,20221126,1,2022-11-26,2022-11-28,2022-12-01,1,42.22,18.04,24.18,57.27,0.0,9.08,3,True,Completed
173,73,104,20220728,1,2022-07-28,2022-07-28,2022-07-30,1,25.9,14.16,11.74,45.33,0.0,13.92,2,True,Completed
174,694,2,20240129,1,2024-01-29,2024-01-30,2024-02-01,4,157.84,91.7,66.14,41.9,1.22,0.0,2,True,Completed
175,454,13,20240101,6,2024-01-01,2024-01-02,2024-01-06,1,98.93,33.57,65.36,66.07,0.0,0.0,4,True,Completed
176,323,83,20241217,5,2024-12-17,2024-12-18,2024-12-23,1,75.7,32.88,42.82,56.57,5.0,0.0,5,True,Completed
177,708,113,20240706,1,2024-07-06,2024-07-07,2024-07-13,4,321.65,141.21,180.44,56.1,2.87,0.0,6,False,Completed
178,247,68,20230518,3,2023-05-18,2023-05-20,2023-05-25,6,511.35,213.0,298.35,58.35,8.09,0.0,5,False,Completed
179,560,99,20230704,4,2023-07-04,2023-07-05,2023-07-06,2,184.64,67.22,117.42,63.59,0.0,0.0,1,True,Completed
180,644,55,20231023,5,2023-10-23,2023-10-23,2023-10-24,2,84.02,30.93,53.09,63.19,1.28,0.0,1,True,Completed
181,209,42,20231029,8,2023-10-29,2023-10-29,2023-11-02,1,15.86,7.86,8.0,50.44,5.0,13.5,4,True,Completed
182,448,8,20230205,5,2023-02-05,2023-02-05,2023-02-07,6,374.12,143.74,230.38,61.58,0.91,0.0,2,True,Completed
183,719,45,20240416,1,2024-04-16,2024-04-16,2024-04-20,1,93.73,48.57,45.16,48.18,10.0,0.0,4,True,Completed
184,768,114,20230430,5,2023-04-30,2023-05-01,2023-05-03,1,86.25,36.97,49.28,57.14,15.0,0.0,2,True,Completed
185,66,81,20221226,2,2022-12-26,2022-12-28,2023-01-01,6,381.13,156.13,225.0,59.03,3.41,0.0,4,True,Completed
186,13,50,20220103,1,2022-01-03,2022-01-03,2022-01-09,3,227.49,134.1,93.39,41.05,0.0,0.0,6,True,Completed
187,732,42,20231204,5,2023-12-04,2023-12-05,2023-12-11,1,14.19,7.86,6.33,44.61,15.0,8.87,6,False,Completed
188,690,103,20220708,7,2022-07-08,2022-07-09,2022-07-14,1,61.06,21.76,39.3,64.36,0.0,9.6,5,True,Completed
189,319,2,20240630,2,2024-06-30,2024-07-01,2024-07-04,2,72.17,43.63,28.54,39.55,5.0,10.17,3,True,Completed
190,795,98,20241231,1,2024-12-31,2024-12-31,2025-01-02,3,182.11,84.47,97.64,53.62,4.86,0.0,2,True,Completed
191,386,14,20240613,6,2024-06-13,2024-06-15,2024-06-22,2,143.78,75.59,68.19,47.43,0.0,0.0,7,False,Completed
192,45,67,20221230,7,2022-12-30,2023-01-01,2023-01-06,5,249.38,145.69,103.69,41.58,4.29,0.0,5,False,Completed
193,679,34,20220410,8,2022-04-10,2022-04-12,2022-04-15,2,78.32,46.48,31.84,40.65,15.0,0.0,3,True,Completed
194,464,26,20230226,2,2023-02-26,2023-02-27,2023-03-01,1,50.72,29.05,21.67,42.72,10.0,6.97,2,True,Completed
195,417,99,20230901,1,2023-09-01,2023-09-01,2023-09-03,1,109.68,39.75,69.93,63.76,0.0,0.0,2,True,Completed
196,703,78,20220524,2,2022-05-24,2022-05-25,2022-05-31,2,101.22,40.85,60.37,59.64,11.7,0.0,6,False,Completed
197,694,23,20231101,2,2023-11-01,2023-11-01,2023-11-03,4,290.34,135.98,154.36,53.17,4.49,0.0,2,True,Completed
198,228,48,20240902,1,2024-09-02,2024-09-04,2024-09-06,5,107.43,51.35,56.08,52.2,9.25,0.0,2,True,Completed
199,132,104,20230802,1,2023-08-02,2023-08-04,2023-08-05,4,195.21,84.55,110.66,56.69,0.69,0.0,1,True,Completed
200,363,36,20230711,1,2023-07-11,2023-07-13,2023-07-16,1,20.2,7.59,12.61,62.43,0.0,11.52,3,True,Completed
201,422,12,20230115,6,2023-01-15,2023-01-17,2023-01-22,1,35.81,20.39,15.42,43.06,0.0,7.79,5,False,Completed
202,557,101,20221214,5,2022-12-14,2022-12-14,2022-12-20,6,367.66,120.23,247.43,67.3,0.0,0.0,6,True,Completed
203,484,30,20240809,3,2024-08-09,2024-08-09,2024-08-14,2,86.04,36.94,49.1,57.07,6.98,0.0,5,True,Completed
204,225,50,20240619,3,2024-06-19,2024-06-21,2024-06-24,7,448.3,239.83,208.47,46.5,1.27,0.0,3,True,Completed
205,577,104,20231209,7,2023-12-09,2023-12-11,2023-12-15,3,168.8,79.9,88.9,52.67,0.0,0.0,4,True,Completed
